Taxon,FAD,LAD
Dicynodon_angielczyki,259,252
Dicynodon_huenie,259.1,251.902
Dicynodon_lacerticeps,259.1,251.902
Dicynodontoides_nowacki,259,254
Dicynodontoides_recurvidens,252.3,247.2
Dicynodontoides_spp,252,252
Didelphis_marsupialis,1.8,0
Didelphis_virginiana,0.3,0
Didelphodon_coyi,70.6,66
Didelphodon_vorax,72.1,66
Didelphodus_absarokae,55.8,50.3
Didelphodus_altidens,50.3,46.2
Didelphodus_rheos,40.4,37.2
Didelphodus_serus,46.2,40.4
Didymictis_altidens,46.2,40.4
Didymictis_dellensis,61.7,46.2
Didymictis_leptomylus,55.8,50.3
Didymictis_protenus,55.8,50.3
Didymictis_proteus,56.8,50.3
Didymictis_vancleveae,50.3,46.2
Diegocanis_elegans,237,227
Digalodon_rubidgei,259.1,251.902
Diictodon_feliceps,253,253
Dilambdogale_gheerbranti,37.2,33.9
Dillerlemur_pagei,61.7,55.8
Dimacrodon_hottoni,272.95,268.8
Dimetrodon_angelensis,272.95,268.8
Dimetrodon_booneorum,290.1,272.95
Dimetrodon_borealis,290.1,283.5
Dimetrodon_dollovianus,290.1,272.95
Dimetrodon_gigashomogenes,283.5,272.95
Dimetrodon_grandis,283.5,272.95
Dimetrodon_limbatus,290.1,272.95
Dimetrodon_loomisi,283.5,272.95
Dimetrodon_macrospondylus,283.5,272.95
Dimetrodon_milleri,295,283.5
Dimetrodon_natalis,290.1,272.95
Dimetrodon_occidentalis,298.9,283.5
Dimetrodon_spp.,275,275
Dimetrodon_teutonis,290.1,283.5
Dinanomodon_gilli,259.1,251.902
Dinictis_squalidens,33.9,33.3
Dinnebitodon_amarali,199.3,182.7
Dinnetherium_nezorum,196.5,183
Dinodontosaurus_pedroanum,242,227
Dinodontosaurus_spp,242,237
Dinogorgon_rubidgei,259.1,251.902
Dinosaurus_murchisoni,268,265
Diplobunops_matthewi,46.2,33.9
Diploclonus_bicornutus,37.2,33.9
Dipsalidictis_aequidens,56.8,55.8
Dipsalidictis_krausei,56.8,55.8
Dipsalidictis_platypus,56.8,48.6
Dipsalidictis_transiens,55.8,50.3
Dissacus_argenteus,56.8,55.8
Dissacus_blayaci,55.8,48.6
Dissacus_bohaiensis,55.8,48.6
Dissacus_europaeus,55.8,48.6
Dissacus_filholi,55.8,48.6
Dissacus_praenuntius,61.7,47.8
Dissacus_raslanloubatieri,56,47.8
Dissacus_rougierae,56,47.8
Dixeya_sp_GPIT_RE_7119,254,254
Docofossor_brachydactylus,161.2,155.7
Dolichorhinus_hyognathus,46.2,40.4
Dolichuranus_primaevus,247.2,242
Domnina_dakotensis,26.3,24.8
Domnina_gradata,40.4,30.8
Domnina_greeni,30.8,20.43
Domnina_sagittariensis,37.2,33.9
Domnina_thompsoni,37.2,33.9
Dorudon_atrox,41.3,33.9
Douglassciurus_jeffersoni,37.2,33.9
Drepanodon_primaevus,33.9,33.3
Drescheratherium_acutum,155.7,150.8
Dryolestes,151,151
Dryolestes_leirensis,157.3,152.1
Dryolestes_priscus,155.7,145.5
Dryolestes_vorax,155.7,145.5
Dryomomys_szalayi,58.7,55.8
Duchesneodus_uintensis,40.4,37.2
Dvinia_prima,259.1,251.902
Echinerpeton_intermedium,315.2,307
Echinolestes_quercyi,37.2,33.9
Ecteninion_lunensis,237,227
Ectocentrocristus_foxi,70.6,66.043
Ectocion_cedrus,61.7,55.8
Ectocion_collinus,61.7,56.8
Ectocion_ignotum,55.8,50.3
Ectocion_major,56.8,55.8
Ectocion_mediotuber,58.7,56.8
Ectocion_nanabeensis,55.8,50.3
Ectocion_osbornianus,56.8,50.3
Ectocion_parvus,55.8,50.3
Ectocion_spp,56,48.6
Ectocion_superstes,50.3,46.2
Ectoconus_cavigellii,66.043,63.3
Ectoconus_ditrigonus,66,64.6
Ectoconus_symbolus,66.043,63.3
Ectoganus_spp,61.7,50.3
Edaphosaurus_boanerges,295,272.95
Edaphosaurus_colohistion,303.7,298.9
Edaphosaurus_credneri,295,290.1
Edaphosaurus_cruciger,290.1,272.95
Edaphosaurus_novomexicanus,303.7,283.5
Edaphosaurus_pogonias,290.1,272.95
Eggysodon_osborni,33.9,28.4
Eleutherodon_oxfordensis,167.7,164.7
Elliotherium_kersteni,227,201.3
Elliotsmithia_longiceps,265.1,259.1
Elliotsmithia_sp,265.1,259.1
